param DC :=10;
param S  :=100;

param MCost :=
1 2
2 15
3 13
4 12
5 17
6 1
7 7
8 16
9 13
10 12;
param cCost :=
1 5000
2 2500
3 3300
4 4500
5 8000
6 3500
7 6500
8 7800
9 1550
10 1800;
param MaxScale :=
1 1562
2 620
3 1487
4 649
5 724
6 1296
7 459
8 619
9 803
10 792;

param Demand :=
1 53
2 79
3 34
4 29
5 48
6 51
7 34
8 11
9 96
10  40
11  13
12  19
13  5
14  90
15  4
16  86
17  81
18  86
19  49
20  29
21  92
22  54
23  14
24  63
25  54
26  56
27  90
28  22
29  1
30  27
31  35
32  89
33  36
34  32
35  20
36  41
37  26
38  17
39  67
40  49
41  54
42  28
43  76
44  93
45  79
46  91
47  44
48  47
49  47
50  7
51  52
52  8
53  28
54  87
55  46
56  25
57  66
58  43
59  14
60  88
61  22
62  62
63  15
64  17
65  77
66  78
67  50
68  16
69  34
70  95
71  44
72  53
73  41
74  7
75  23
76  28
77  7
78  57
79  58
80  99
81  51
82  28
83  13
84  25
85  43
86  19
87  17
88  52
89  33
90  79
91  89
92  59
93  3
94  45
95  7
96  7
97  1
98  58
99  15
100 100;
param StoretoDC : 1 2 3 4 5 6 7 8 9 10:=
1 78  42  20  103 91  11  137 124 76  89
2 45  77  49  54  58  38  88  75  49  50
3 102 68  44  63  115 29  97  84  36  49
4 47  41  13  90  60  32  124 111 63  76
5 56  40  12  91  69  23  125 112 64  77
6 84  128 100 61  69  89  41  38  92  93
7 100 120 92  37  113 81  57  60  16  5
8 76  44  18  87  89  5 121 108 60  73
9 86  96  68  35  99  57  69  56  8 21
10  19  55  39  76  32  60  110 97  75  76
11  66  110 82  75  51  91  55  52  106 107
12  98  128 100 35  111 89  55  58  24  11
13  115 109 81  52  128 70  72  75  21  20
14  63  107 79  24  68  68  58  45  39  40
15  77  103 75  28  90  64  62  49  17  18
16  49  93  65  38  48  54  72  59  59  60
17  143 107 85  80  156 64  100 103 49  48
18  108 152 124 35  93  113 15  12  66  67
19  97  61  39  88  110 18  122 109 61  74
20  80  118 90  17  93  79  47  40  14  15
21  89  115 87  26  102 76  50  49  11  6
22  9 51  49  80  22  70  114 101 85  86
23  46  90  62  47  31  63  75  62  78  79
24  95  139 111 46  80  100 26  23  77  78
25  71  65  37  66  84  26  100 87  39  52
26  91  83  55  48  104 44  82  69  21  34
27  82  66  38  65  95  27  99  86  38  51
28  85  49  27  88  98  6 122 109 61  74
29  84  128 100 15  91  89  37  38  24  17
30  59  23  5 108 72  20  142 129 81  94
31  9 53  53  78  18  74  112 99  89  90
32  57  93  65  38  70  54  72  59  37  38
33  28  32  30  99  41  51  133 120 72  85
34  62  30  4 101 75  17  135 122 74  87
35  47  91  63  40  42  52  74  61  65  66
36  89  133 105 14  90  94  34  37  29  18
37  41  85  57  60  26  76  80  67  91  92
38  56  90  62  41  69  51  75  62  38  39
39  81  125 97  18  94  86  40  41  21  14
40  89  127 99  26  102 88  46  49  23  10
41  53  55  27  76  66  26  110 97  49  62
42  97  141 113 10  82  102 24  23  37  32
43  92  136 108 9 85  97  29  32  32  23
44  127 91  69  64  140 48  84  87  33  36
45  52  72  44  59  65  33  93  80  42  45
46  77  79  51  52  90  40  86  73  25  38
47  123 167 139 36  108 128 4 15  63  56
48  35  43  23  88  48  44  122 109 61  74
49  110 92  64  47  123 53  73  70  16  25
50  92  136 108 5 81  97  29  28  32  27
51  55  89  61  42  68  50  76  63  39  40
52  105 105 77  42  118 66  62  65  11  12
53  99  63  41  96  112 20  130 117 69  82
54  38  78  96  101 25  117 87  78  132 133
55  52  92  64  39  65  53  73  60  42  43
56  88  120 92  25  101 81  45  48  16  7
57  119 83  61  56  132 40  90  79  29  42
58  18  62  66  71  5 87  103 90  102 103
59  33  77  63  68  18  84  88  75  99  100
60  71  35  13  112 84  20  146 133 85  98
61  123 87  65  60  136 44  92  83  31  44
62  96  92  64  39  109 53  73  60  12  25
63  6 38  58  93  21  79  127 114 94  95
64  3 43  55  88  16  76  122 109 91  92
65  5 49  63  82  10  84  116 103 99  100
66  38  82  54  49  31  61  83  70  76  77
67  57  33  5 98  70  22  132 119 71  84
68  38  30  20  101 51  41  135 122 74  87
69  98  142 114 11  83  103 23  26  38  29
70  54  98  70  65  39  81  67  54  96  97
71  27  71  83  88  12  104 94  81  119 120
72  22  66  78  83  7 99  99  86  114 115
73  20  24  44  107 35  65  141 128 80  93
74  84  110 82  21  97  71  55  44  10  11
